name,id
墨西哥,0
波多黎各,1
荷兰,2
马来西亚,3
西班牙,4
古巴,5
阿根廷,6
日本,7
瑞士,8
印度,9
哥伦比亚,10
卢森堡,11
俄罗斯,12
格鲁吉亚,13
加拿大,14
拉脱维亚,15
巴哈马,16
芬兰,17
台湾,18
冰島,19
捷克,20
奥地利,21
爱沙尼亚,22
阿联酋,23
保加利亚,24
博茨瓦纳,25
捷克斯洛伐克,26
爱尔兰,27
中国,28
法国,29
新西兰,30
泰国,31
南非,32
德国,33
巴西,34
哈萨克斯坦,35
毛里塔尼亚,36
秘鲁,37
土耳其,38
塔吉克斯坦,39
英国,40
乌克兰,41
比利时,42
立陶宛,43
菲律宾,44
美国,45
波兰,46
澳大利亚,47
阿尔及尼亚,48
埃及,49
葡萄牙,50
原西德,51
冰岛,52
印尼,53
印度尼西亚,54
匈牙利,55
智利,56
丹麦,57
韩国,58
香港,59
西德,60
苏联,61
摩洛哥,62
斯洛伐克,63
伊朗,64
罗马尼亚,65
瑞典,66
缅甸,67
突尼斯,68
以色列,69
意大利,70
乌兹别克斯坦,71
希腊,72
挪威,73
越南,74
