name,id,url,rate,length
我是路人甲,0,http://movie.douban.com/subject/25746375/,7.4,134.0
铁拳,1,http://movie.douban.com/subject/5446197/,7.1,123.0
我们梦中见,2,http://movie.douban.com/subject/25885212/,7.6,92.0
少年透明人,3,http://movie.douban.com/subject/25728581/,6.6,100.0
撒迦利亚,4,http://movie.douban.com/subject/5156558/,6.0,95.0
非我,5,http://movie.douban.com/subject/24325815/,6.3,117.0
唇上之歌,6,http://movie.douban.com/subject/25922902/,7.5,132.0
如晴天，似雨天,7,http://movie.douban.com/subject/25738406/,8.1,104.0
故事的故事,8,http://movie.douban.com/subject/25767747/,7.4,125.0
奸臣,9,http://movie.douban.com/subject/25823840/,6.3,133.0
头脑特工队,10,http://movie.douban.com/subject/10533913/,9.0,94.0
小森林 冬春篇,11,http://movie.douban.com/subject/25814707/,8.9,120.0
小男孩,12,http://movie.douban.com/subject/10773239/,8.2,106.0
可爱的你,13,http://movie.douban.com/subject/25870236/,7.8,113.0
花与爱丽丝杀人事件,14,http://movie.douban.com/subject/26147706/,8.0,100.0
百元之恋,15,http://movie.douban.com/subject/25761178/,8.3,115.0
少年班,16,http://movie.douban.com/subject/26219652/,5.7,106.0
末日崩塌,17,http://movie.douban.com/subject/25786077/,7.1,114.0
深夜食堂 电影版,18,http://movie.douban.com/subject/25958787/,7.8,119.0
冲出康普顿,19,http://movie.douban.com/subject/3608742/,7.6,147.0
魔力麦克2,20,http://movie.douban.com/subject/11541282/,5.9,115.0
谜城,21,http://movie.douban.com/subject/25837175/,5.5,105.0
模仿游戏,22,http://movie.douban.com/subject/10463953/,8.5,114.0
小羊肖恩,23,http://movie.douban.com/subject/24397586/,8.5,85.0
进击的巨人真人版：前篇,24,http://movie.douban.com/subject/6866928/,5.1,98.0
女间谍,25,http://movie.douban.com/subject/25752261/,7.6,120.0
爆裂鼓手,26,http://movie.douban.com/subject/25773932/,8.6,107.0
杀破狼2,27,http://movie.douban.com/subject/23788440/,7.4,120.0
道士下山,28,http://movie.douban.com/subject/24879839/,5.4,123.0
我是谁：没有绝对安全的系统,29,http://movie.douban.com/subject/25932086/,8.0,105.0
贝利叶一家,30,http://movie.douban.com/subject/25855951/,8.2,105.0
疯狂的麦克斯4：狂暴之路,31,http://movie.douban.com/subject/3592854/,8.6,120.0
时光尽头的恋人,32,http://movie.douban.com/subject/6039412/,6.3,112.0
坏姐姐之拆婚联盟,33,http://movie.douban.com/subject/25907004/,4.5,108.0
嘘！禁止想象！,34,http://movie.douban.com/subject/26366634/,5.1,57.0
机械姬,35,http://movie.douban.com/subject/4160540/,7.5,108.0
栀子花开,36,http://movie.douban.com/subject/26021055/,4.1,107.0
复仇者联盟2：奥创纪元,37,http://movie.douban.com/subject/10741834/,7.1,142.0
