name,id
1920,0
1921,1
1922,2
1923,3
1924,4
1925,5
1926,6
1927,7
1928,8
1929,9
1931,10
1932,11
1933,12
1934,13
1935,14
1936,15
1937,16
1938,17
1939,18
1940,19
1941,20
1942,21
1943,22
1944,23
1945,24
1946,25
1947,26
1948,27
1949,28
1950,29
1951,30
1952,31
1953,32
1954,33
1955,34
1956,35
1957,36
1958,37
1959,38
1960,39
1961,40
1962,41
1963,42
1964,43
1965,44
1966,45
1967,46
1968,47
1969,48
1970,49
1971,50
1972,51
1973,52
1974,53
1975,54
1976,55
1977,56
1978,57
1979,58
1980,59
1981,60
1982,61
1983,62
1984,63
1985,64
1986,65
1987,66
1988,67
1989,68
1990,69
1991,70
1992,71
1993,72
1994,73
1995,74
1996,75
1997,76
1998,77
1999,78
2000,79
2001,80
2002,81
2003,82
2004,83
2005,84
2006,85
2007,86
2008,87
2009,88
2010,89
2011,90
2012,91
2013,92
2014,93
2015,94
