Entity1,Relation,Entity2
2694,编剧,6626
1163,语言,45
3738,导演,21303
2640,演员,9903
4014,演员,16694
1422,上映地区,70
4198,编剧,14902
4443,编剧,14051
2704,演员,17569
3934,上映地区,45
1402,演员,8429
2679,演员,16290
2129,类型,22
3903,演员,19973
2097,演员,18403
2721,演员,20578
1703,演员,12427
2868,类型,16
3131,导演,3624
600,演员,3415
3004,演员,376
2616,编剧,3600
4576,语言,54
1726,演员,20394
2626,演员,12489
2861,演员,5154
3825,类型,27
365,演员,1890
2185,演员,489
2898,上映时间,90
3321,演员,3394
3333,语言,45
4330,上映地区,47
1916,导演,13527
861,演员,10572
1596,演员,17021
4024,演员,21437
2734,编剧,8153
1781,演员,137
122,编剧,22136
2278,演员,17740
3732,演员,22549
3164,演员,2047
718,上映地区,59
3179,演员,2669
2112,类型,22
3856,演员,4332
3738,类型,13
2018,演员,2104
573,演员,1274
3856,类型,19
387,演员,17726
3112,上映时间,89
1643,类型,22
3439,演员,4160
1565,上映地区,21
3182,演员,17713
3829,编剧,6427
1547,类型,8
3926,上映地区,45
2539,演员,16612
3508,类型,18
1792,演员,21937
2819,编剧,22381
1661,编剧,18350
3597,编剧,16345
478,演员,17536
859,演员,7841
2292,演员,10410
1919,语言,146
1161,导演,17522
1850,导演,13474
2261,演员,17740
957,导演,9415
116,演员,17853
2842,演员,13505
4297,演员,21172
3547,类型,0
4516,演员,5029
701,演员,8153
2483,演员,19438
3721,类型,13
45,演员,8538
799,演员,4081
3839,类型,19
2105,上映地区,45
4514,演员,8909
170,编剧,4199
580,语言,158
1600,演员,9794
1731,上映地区,28
328,演员,20793
4186,演员,20997
156,演员,18441
2760,演员,18054
1614,演员,1896
861,上映时间,90
3576,演员,17045
910,导演,388
916,演员,4241
2018,类型,19
3227,上映地区,29
1795,上映时间,72
2885,演员,16305
2696,导演,4673
111,演员,5534
1206,上映地区,46
2003,演员,7093
3067,编剧,11049
4214,演员,9250
3177,演员,12160
492,导演,15071
3704,类型,13
1933,编剧,2395
2088,上映地区,45
3596,类型,18
1621,演员,15946
3928,语言,124
1714,上映地区,28
620,导演,17218
487,类型,17
2400,类型,5
3349,演员,3047
1761,演员,2020
3459,演员,21557
244,演员,12429
132,演员,8713
1029,演员,19301
2557,编剧,14369
1298,演员,10054
5,类型,5
4009,类型,17
3473,演员,3489
557,上映时间,93
